,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
52406,gdb_52407,N=COCCOC1CC1,2.47119,0.99864,0.79205,3.5271,77.66,-0.2534,0.032,0.2854,1488.5114,0.169445,-440.251578,-440.241864,-440.24092,-440.288141,34.322
50966,gdb_50967,O=CNC(CC#N)C=O,2.08389,1.30539,0.87791,4.632,67.4,-0.2714,-0.0623,0.2091,1259.1035,0.110815,-453.986048,-453.976733,-453.975789,-454.021666,31.397
21449,gdb_21450,c1c(con1)NC=N,5.90298,1.44842,1.16304,4.9379,62.63,-0.2201,-0.0086,0.2115,944.8917,0.097442,-394.768942,-394.762214,-394.761269,-394.800175,24.584
124598,gdb_124599,Cc1cnn(n1)C(C)C,3.90263,0.99116,0.96119,0.3256,82.77,-0.242,0.0088,0.2508,1365.6647,0.171092,-399.357154,-399.347603,-399.346659,-399.392814,34.068
2480,gdb_2481,CC1CC2CC1C2,4.65879,2.48404,2.30475,0.0627,70.35,-0.2924,0.0916,0.384,698.5492,0.174636,-273.780933,-273.774787,-273.773843,-273.81042,25.334
7586,gdb_7587,CC(C)C1(C)CC1C,2.51165,1.59477,1.37214,0.1081,85.1,-0.2551,0.0818,0.337,1112.558,0.221597,-314.273731,-314.263634,-314.262689,-314.307724,38.246
17697,gdb_17698,CC12C3C1C1OC3C21,5.17264,1.98795,1.96504,1.9923,66.58,-0.2413,0.0835,0.3248,746.537,0.131462,-346.52247,-346.516537,-346.515592,-346.552133,24.443
80277,gdb_80278,CC12NC(=O)CC1C2O,2.42327,1.53499,1.27352,3.6927,71.85,-0.2404,0.0246,0.265,1064.2548,0.147511,-439.11656,-439.107996,-439.107052,-439.149508,32.818
125496,gdb_125497,Cc1nn(c(=O)o1)C=O,2.73566,1.46182,0.95841,3.4989,63.59,-0.2712,-0.0469,0.2243,1135.6053,0.088667,-489.948295,-489.940509,-489.939565,-489.981024,27.369
116239,gdb_116240,CCC1CCNC1C#N,2.074,1.46894,1.0176,4.6839,82.06,-0.236,0.0339,0.2699,1255.4133,0.184069,-383.29223,-383.282863,-383.281919,-383.326884,34.555
47059,gdb_47060,O=C1COC2COC2C1,3.51419,1.37372,1.07217,2.0705,67.82,-0.2401,-0.0273,0.2128,1086.5695,0.136722,-458.958903,-458.951481,-458.950537,-458.991268,28.27
104367,gdb_104368,CCC1(O)CCNC1=O,2.22939,1.50555,1.29674,3.5825,74.64,-0.247,0.0258,0.2727,1112.665,0.171507,-440.340665,-440.331498,-440.330554,-440.374265,34.785
130034,gdb_130035,C1c2c(nn[nH]2)C(=N1)N,3.38544,1.66314,1.12366,2.2638,69.5,-0.2281,-0.0093,0.2188,991.778,0.105095,-429.051445,-429.044704,-429.04376,-429.082381,26.379
115870,gdb_115871,CC12OC1COC2CO,2.51877,1.45771,1.08738,3.0273,70.96,-0.2498,0.0834,0.3332,1151.5658,0.15858,-460.147732,-460.138999,-460.138055,-460.181105,32.79
34445,gdb_34446,N#CC12NCC3C1OC23,3.04604,1.78386,1.29386,5.1324,69.2,-0.2462,0.0109,0.2572,938.3212,0.114429,-416.740569,-416.733912,-416.732968,-416.771558,26.478
4411,gdb_4412,c1nc([nH]c(=O)n1)N,4.15302,2.01344,1.35655,6.658,59.32,-0.2506,-0.0389,0.2117,818.4116,0.086949,-410.920972,-410.91446,-410.913516,-410.951614,24.215
103354,gdb_103355,CC1(CO)C2OC1C=C2,2.67792,1.61491,1.30365,2.891,74.62,-0.2317,-0.0013,0.2304,1032.1727,0.15851,-422.965264,-422.956933,-422.955988,-422.997979,32.687
75247,gdb_75248,CC1=CCC2(CCO2)C1,3.76742,1.1041,1.01184,1.599,84.76,-0.2288,0.033,0.2618,1282.6277,0.182594,-387.096704,-387.088031,-387.087087,-387.130445,33.083
115181,gdb_115182,OCC1COC(=N)C1O,2.55198,1.34311,1.05657,1.736,68.59,-0.2686,0.0189,0.2875,1161.1203,0.148234,-476.232575,-476.223806,-476.222862,-476.266182,32.591
52450,gdb_52451,N=COCCCOC=N,14.16231,0.41172,0.40311,5.8908,78.96,-0.2661,0.0158,0.2819,2564.2934,0.15707,-456.330135,-456.319274,-456.31833,-456.370938,34.668
10251,gdb_10252,C(=N)N(C=O)C(=O)N,2.72561,2.09724,1.18525,3.2406,58.24,-0.2678,-0.0384,0.2294,923.05,0.09603,-431.987503,-431.979878,-431.978934,-432.019799,27.187
58923,gdb_58924,CC(O)C12CC3C1OC23,2.88112,1.59492,1.22437,2.8774,74.53,-0.2442,0.0618,0.306,1054.8577,0.158325,-422.931476,-422.9234,-422.922456,-422.964238,31.692
100670,gdb_100671,CC(O)(CO)C(O)CO,3.01486,0.95001,0.88172,2.1096,70.67,-0.2556,0.058,0.3136,1397.9576,0.179477,-498.486852,-498.475933,-498.474989,-498.522295,40.471
58805,gdb_58806,CC(O)C12CC(C)C1N2,3.41423,1.02804,0.96635,2.2418,82.21,-0.2468,0.0695,0.3163,1356.7554,0.193201,-404.312764,-404.303031,-404.302087,-404.347138,36.912
84011,gdb_84012,CC1C2OCCCC12C,2.03576,1.63246,1.36668,1.3436,85.24,-0.2351,0.0823,0.3175,1135.7526,0.20671,-388.289788,-388.280695,-388.279751,-388.323078,35.497
53726,gdb_53727,CC(=O)C#CC(C)(C)C,3.12398,0.72201,0.67705,3.5664,91.08,-0.2513,-0.0432,0.2081,1794.3431,0.17793,-387.097433,-387.086036,-387.085092,-387.136745,39.958
6448,gdb_6449,NC1(CC(O)C1)C#N,4.56216,1.40904,1.3054,1.6189,65.56,-0.2638,0.022,0.2858,949.0816,0.131366,-379.916063,-379.908357,-379.907413,-379.947757,29.504
94826,gdb_94827,OC1CCC2(CN2)C=C1,3.80297,1.1046,0.96609,1.6359,81.91,-0.2355,0.008,0.2436,1257.5442,0.172785,-403.135076,-403.126905,-403.12596,-403.167654,32.665
125507,gdb_125508,Cc1ncn(n1)CC#C,6.15871,0.92024,0.80863,2.6097,76.93,-0.252,0.0124,0.2645,1375.7952,0.124183,-396.923844,-396.915083,-396.914139,-396.959189,30.719
47332,gdb_47333,C1C(=CC(=O)CN1)C#N,3.17083,1.18761,0.88721,2.5856,76.86,-0.2399,-0.099,0.141,1220.9534,0.11445,-416.841264,-416.833469,-416.832525,-416.874011,28.687
68670,gdb_68671,CC12CC(CCC1)C2=O,2.26117,1.7469,1.38983,2.8997,81.67,-0.2267,-0.0057,0.221,1057.2297,0.18426,-387.118771,-387.110528,-387.109584,-387.151096,32.683
90170,gdb_90171,CC1CC23CC2(CC3)C1,3.24626,1.29955,1.23673,0.4773,88.52,-0.2135,0.0791,0.2927,1168.8006,0.207571,-351.13543,-351.127238,-351.126293,-351.167783,33.68
13398,gdb_13399,COCC1OCC=C1,5.73058,1.1163,1.00225,1.1721,70.76,-0.2324,0.0175,0.2498,1194.4932,0.153279,-384.926783,-384.918527,-384.917583,-384.960245,29.136
86278,gdb_86279,CC1OC(C)C1(O)C#C,1.99097,1.52845,1.18455,2.154,78.3,-0.2489,0.0241,0.2729,1164.3875,0.1552,-422.980084,-422.97002,-422.969076,-423.014703,37.154
2425,gdb_2426,OC12CC3C1CC23,4.2257,3.47868,2.51903,1.3274,60.97,-0.2545,0.0802,0.3347,587.7217,0.125875,-308.44089,-308.435265,-308.43432,-308.46981,22.903
117213,gdb_117214,CC1CN1C(=O)CCO,3.77473,0.80265,0.72135,1.8735,77.31,-0.2435,0.0128,0.2563,1608.9303,0.168655,-440.283662,-440.273359,-440.272415,-440.320065,36.071
26511,gdb_26512,CC1(CC1)n2ccnc2,3.57088,1.18936,1.166,4.0113,80.18,-0.2197,0.0321,0.2518,1153.4701,0.160842,-382.095883,-382.087757,-382.086812,-382.128848,31.275
131269,gdb_131270,c1c(c(n[nH]1)OC=O)O,3.35042,1.16583,0.87848,4.1664,62.34,-0.2278,-0.0105,0.2173,1204.3097,0.089405,-489.90864,-489.900655,-489.899711,-489.941831,28.377
26670,gdb_26671,Cc1c(c(c([nH]1)O)N)N,2.3301,1.54277,0.9398,1.5951,77.03,-0.1563,0.0643,0.2206,1223.6625,0.147875,-435.291222,-435.281182,-435.280238,-435.32555,36.686
35241,gdb_35242,N#CC1OC11CCOC1,3.75779,1.11864,0.97066,2.641,69.28,-0.2697,-0.0102,0.2595,1187.9699,0.124532,-437.874275,-437.866378,-437.865433,-437.907433,28.909
25385,gdb_25386,N=C1OC(C=O)=CC=N1,3.18008,1.40041,0.97226,5.4437,73.41,-0.2512,-0.1143,0.1369,1107.9496,0.089585,-452.771843,-452.76449,-452.763545,-452.804601,26.378
52342,gdb_52343,C(C=O)N=COCC=O,11.09611,0.43868,0.43428,1.7235,72.58,-0.2513,-0.0479,0.2034,2345.2128,0.119051,-475.018436,-475.008234,-475.007289,-475.056834,32.683
3383,gdb_3384,O=CN1C2CCC12,8.09508,1.84459,1.65585,3.6388,60.01,-0.2411,0.0036,0.2447,744.8654,0.113838,-324.547564,-324.541368,-324.540424,-324.577691,22.666
95185,gdb_95186,CC1OCC2NC2C1=O,2.42978,1.742,1.20999,3.0987,72.47,-0.232,-0.0265,0.2055,1054.3227,0.148307,-439.079092,-439.071073,-439.070129,-439.111894,30.669
33045,gdb_33046,CCOC1=CNC(=N)O1,4.66942,0.89626,0.77785,3.1484,73.93,-0.1851,0.0427,0.2278,1459.036,0.135121,-455.160275,-455.151163,-455.150219,-455.195198,32.536
25785,gdb_25786,c1c(c[nH]c1C(=O)N)N,4.289,1.02734,0.83845,4.0023,77.46,-0.1907,-0.0142,0.1764,1310.5399,0.126534,-434.132195,-434.123708,-434.122764,-434.165208,32.292
10644,gdb_10645,COC1(CC1O)C#C,2.67574,1.85563,1.34776,2.2335,67.92,-0.2416,0.0262,0.2678,953.0886,0.12706,-383.669336,-383.660606,-383.659662,-383.702201,32.103
97382,gdb_97383,CC1(CCC1)OC=NC,3.81559,0.81563,0.78901,3.0246,87.39,-0.2407,0.0299,0.2706,1596.2961,0.192018,-404.341405,-404.331383,-404.330439,-404.376594,36.869
18295,gdb_18296,CC1C2OCCOC12,3.15839,2.07183,1.79212,0.7145,67.32,-0.2247,0.0772,0.3019,834.3395,0.154752,-384.91024,-384.902756,-384.901812,-384.942208,28.045
96275,gdb_96276,CC1CCCOC(=N)O1,2.08788,1.86131,1.15257,3.7899,76.14,-0.2528,0.0405,0.2934,1117.0071,0.172278,-440.305645,-440.297092,-440.296148,-440.33899,32.69
49868,gdb_49869,N=C1CC(C=O)C(=O)O1,2.48507,1.47737,1.00898,1.9394,64.3,-0.2805,-0.0547,0.2258,1111.0672,0.100378,-473.886112,-473.878292,-473.877348,-473.919758,27.778
8615,gdb_8616,CC(C=O)(C#C)C#N,2.15056,2.07704,1.44474,2.9997,65.1,-0.2794,-0.0612,0.2182,905.4039,0.091771,-361.441413,-361.432746,-361.431802,-361.474678,29.997
48484,gdb_48485,O=CC1(CCOC1)C#C,2.14631,1.55973,1.16645,3.1847,74.82,-0.2556,-0.0345,0.2212,1104.1984,0.134516,-421.798933,-421.790178,-421.789234,-421.833076,31.843
106018,gdb_106019,CCC12C3CC(C13)C2=O,2.60643,1.57273,1.22684,3.2834,79.16,-0.2316,0.0117,0.2432,1091.4133,0.159395,-385.868656,-385.860529,-385.859585,-385.901584,31.221
62623,gdb_62624,CC1(O)C2C3CC1(O)C23,2.33614,1.85082,1.61355,1.7856,73.91,-0.2467,0.0703,0.317,951.9914,0.158586,-422.978794,-422.970794,-422.96985,-423.010448,33.092
37941,gdb_37942,C1OC2C3OC(C=C1)C23,2.79943,2.05306,1.46243,2.5663,72.37,-0.2288,-0.0064,0.2224,905.2269,0.137867,-421.767034,-421.760413,-421.759468,-421.797805,27.054
104321,gdb_104322,OCC1(O)CCC2CC12,2.94832,1.27702,1.18366,2.0744,77.4,-0.252,0.0645,0.3165,1152.8238,0.183331,-424.224043,-424.215365,-424.214421,-424.256881,34.602
51614,gdb_51615,O=CCC1CC2(CC2)O1,5.05081,0.78814,0.75132,3.4974,77.32,-0.2365,-0.0227,0.2137,1529.5365,0.157076,-423.001293,-422.992312,-422.991368,-423.036452,32.665
67527,gdb_67528,CC12C3NC3C1OC2=N,2.48548,1.8527,1.521,3.9758,72.71,-0.2403,0.0302,0.2705,944.0759,0.136403,-417.944234,-417.936756,-417.935812,-417.975842,29.575
22985,gdb_22986,CC(=O)C1NCC1=NO,2.50411,1.16865,0.96802,2.9681,73.15,-0.2312,-0.021,0.2103,1257.8364,0.133619,-455.08792,-455.078511,-455.077567,-455.123223,33.344
122578,gdb_122579,COCCC1CN=CO1,5.24909,0.69356,0.64796,2.0486,76.58,-0.2485,0.0235,0.272,1742.6179,0.170961,-440.288685,-440.279271,-440.278327,-440.324491,32.706
114118,gdb_114119,CCC1CC2(CC)CC12,3.75826,0.86048,0.78914,0.2713,93.51,-0.2403,0.0871,0.3274,1617.4612,0.22861,-352.342268,-352.332243,-352.331299,-352.377194,38.242
119947,gdb_119948,CC1C(CCO)C1C=O,1.93041,1.04365,0.79328,2.6823,80.72,-0.2426,-0.0181,0.2245,1516.4566,0.180319,-424.218964,-424.208535,-424.207591,-424.255171,37.021
87505,gdb_87506,OC1CC11C2OC1C2O,3.04291,1.37995,1.12769,1.5851,69.11,-0.2397,0.0575,0.2973,1087.0465,0.134017,-458.848519,-458.840328,-458.839384,-458.881093,31.643
60466,gdb_60467,CC(O)COCC1CC1,2.67026,0.88087,0.78516,0.5638,82.25,-0.24,0.0773,0.3173,1586.6582,0.203745,-425.399107,-425.388512,-425.387568,-425.435793,38.562
30982,gdb_30983,COc1c([nH]c(=O)[nH]1)O,2.63046,1.35222,0.93885,4.3212,64.42,-0.1801,0.0466,0.2268,1190.4494,0.11184,-491.113787,-491.104732,-491.103788,-491.147754,32.294
15538,gdb_15539,CC1N=CNC1C#N,3.01749,2.13209,1.46277,2.773,65.58,-0.2477,-0.0028,0.2449,854.4623,0.120609,-358.86797,-358.860597,-358.859652,-358.899786,26.928
76155,gdb_76156,CC1(N)C(N)C1(N)C#N,2.10714,1.47113,1.20559,5.2029,77.64,-0.2296,0.023,0.2525,1138.6107,0.158464,-415.36486,-415.354367,-415.353423,-415.399546,38.532
58679,gdb_58680,CC(O)C1(CC1O)C=O,2.06987,1.47077,1.23252,1.9055,72.75,-0.2587,-0.0328,0.2259,1127.9832,0.157027,-460.158846,-460.149338,-460.148393,-460.192826,35.673
58512,gdb_58513,CC(C)C1(O)CN2CC12,2.6696,1.2948,1.20227,2.4315,80.83,-0.2277,0.06,0.2877,1185.7944,0.192719,-404.302723,-404.293227,-404.292283,-404.336384,36.89
85416,gdb_85417,CC1CC(=N)OC1(C)C,2.18038,1.5131,1.22768,3.3672,83.0,-0.2496,0.0347,0.2842,1170.1752,0.19366,-404.392146,-404.382761,-404.381817,-404.425685,36.724
32823,gdb_32824,c1coc(c1CCO)N,3.04694,1.23982,0.92741,1.9871,75.43,-0.1744,0.0421,0.2165,1240.2993,0.148288,-439.107976,-439.099118,-439.098174,-439.142076,33.202
120171,gdb_120172,OCCC1N2CC1(O)C2,3.43046,0.91952,0.83043,1.4524,76.12,-0.2424,0.0687,0.311,1431.6241,0.170554,-440.196336,-440.187213,-440.186268,-440.230863,34.144
123418,gdb_123419,c1cn(nn1)CC2CC2,4.6923,0.96865,0.90844,4.488,77.44,-0.2542,0.0043,0.2585,1316.6528,0.149801,-398.114125,-398.106245,-398.105301,-398.147925,29.103
84561,gdb_84562,OC1C=CC2C3CC1C23,2.92754,1.74912,1.36505,1.7901,79.08,-0.2296,0.0097,0.2393,978.0819,0.162001,-385.869896,-385.862833,-385.861889,-385.900919,29.645
102716,gdb_102717,CCC(CC1CN1)C#N,3.11694,0.92123,0.75572,4.6327,83.14,-0.2469,0.0322,0.2791,1553.2797,0.182486,-383.265046,-383.255093,-383.254149,-383.30064,35.74
131258,gdb_131259,c1c(c2c([nH]1)[nH]nn2)O,3.39356,1.6809,1.12412,4.7677,65.58,-0.1984,-0.0002,0.1982,968.8985,0.09139,-448.914457,-448.906967,-448.906022,-448.947121,27.383
103442,gdb_103443,OCC1(O)C2OC2C1O,2.41796,1.58329,1.32257,1.146,62.74,-0.246,0.0524,0.2984,1010.1399,0.134884,-496.045084,-496.03678,-496.035836,-496.077697,32.287
82596,gdb_82597,OC1C2OC3C(O)C1C23,2.3305,2.14771,1.69071,2.8367,65.65,-0.2424,0.0482,0.2907,868.8036,0.137852,-458.904985,-458.898209,-458.897265,-458.935843,27.982
72188,gdb_72189,OC12CC3CC4C1N4C23,3.05213,2.00543,1.58049,2.5517,73.11,-0.2197,0.0698,0.2895,879.8087,0.150194,-401.898309,-401.891843,-401.890899,-401.928605,27.813
12470,gdb_12471,C1CNC(=O)C=CN1,3.59285,1.91441,1.30955,5.9222,69.52,-0.2079,-0.004,0.2038,903.7191,0.134049,-379.961889,-379.954628,-379.953684,-379.993426,27.347
82048,gdb_82049,CC1C2OC2C11COC1,2.77954,1.45236,1.23766,2.2086,74.17,-0.246,0.0724,0.3184,1078.7327,0.158521,-422.960324,-422.952133,-422.951189,-422.993375,30.984
111155,gdb_111156,COC1C2CC1C21CC1,3.98648,1.08903,0.99551,1.0323,84.51,-0.2453,0.0969,0.3422,1284.1025,0.182464,-387.006873,-386.998464,-386.99752,-387.039834,32.861
1103,gdb_1104,CC(C)C(C)(C)C,2.98694,2.14771,1.78753,0.0493,77.05,-0.2968,0.0736,0.3704,897.8057,0.215354,-276.202586,-276.192913,-276.191969,-276.235995,36.54
43415,gdb_43416,O=C1C=CNCC2CN12,2.42359,1.94392,1.1823,5.7256,76.87,-0.2156,-0.0124,0.2032,1018.0706,0.138999,-418.016543,-418.009187,-418.008242,-418.048131,29.006
105860,gdb_105861,COC12C(O)C1NC2=O,2.13691,1.64504,1.29595,4.2635,65.79,-0.2328,0.0025,0.2354,1042.3503,0.122628,-474.984335,-474.975599,-474.974655,-475.017989,31.661
119496,gdb_119497,COCC12CC1C1CC21,4.6703,0.95495,0.90087,1.2317,83.05,-0.2037,0.0853,0.2889,1384.6246,0.181741,-387.003521,-386.994749,-386.993805,-387.037287,33.531
122588,gdb_122589,CCCCC1OCC1=O,4.22421,0.66189,0.60034,1.186,80.93,-0.2549,-0.0306,0.2243,1889.2639,0.180309,-424.231124,-424.221139,-424.220194,-424.267297,35.314
14975,gdb_14976,COC1CC=CCO1,4.37993,1.54863,1.20846,1.4468,70.01,-0.2454,0.0218,0.2672,1009.921,0.154161,-384.940499,-384.932705,-384.931761,-384.97268,28.871
117369,gdb_117370,CCOC(=N)CC1CN1,5.51387,0.67205,0.62382,2.3141,81.03,-0.2499,0.0322,0.2821,1836.6739,0.182225,-420.391331,-420.38136,-420.380416,-420.427412,35.567
24559,gdb_24560,N1C=CN=CC=CN=C1,2.18509,2.04005,1.19441,2.2219,85.34,-0.2042,-0.0265,0.1777,1019.2805,0.12672,-396.922439,-396.914877,-396.913933,-396.954466,28.861
8034,gdb_8035,CC1CC2(O)CCC12,3.26591,1.84134,1.46242,1.1851,74.38,-0.2429,0.0785,0.3213,945.5003,0.176754,-348.982303,-348.974199,-348.973254,-349.014398,31.665
101588,gdb_101589,CCN(C)CC(=O)CO,3.09304,0.78181,0.72562,3.62,80.17,-0.2303,-0.0264,0.2039,1671.034,0.191113,-441.483499,-441.472564,-441.47162,-441.52049,38.721
69144,gdb_69145,CC12NC1C(=O)C1NC21,2.67549,1.67291,1.29944,4.2287,72.6,-0.2193,-0.0307,0.1885,1008.7181,0.136728,-417.967234,-417.959679,-417.958735,-417.999016,29.799
79569,gdb_79570,CC12OC1C1C(O)C21C,2.24811,1.79085,1.33126,3.2503,74.82,-0.227,0.056,0.283,1045.2986,0.157027,-422.954595,-422.945994,-422.94505,-422.987081,33.931
13384,gdb_13385,CCCC1CN=CO1,5.49952,1.07034,0.97729,1.8693,71.77,-0.2453,0.0262,0.2715,1240.4698,0.166488,-365.087734,-365.079496,-365.078552,-365.121224,29.554
89559,gdb_89560,CC1CC2(C1)CC(O)C2,5.06759,0.80279,0.80149,1.5708,86.31,-0.2539,0.0793,0.3332,1548.3809,0.205244,-388.274151,-388.264844,-388.2639,-388.308181,36.39
118142,gdb_118143,CC(CCO)C1CCO1,3.08302,0.80807,0.67843,2.6122,82.48,-0.2414,0.0814,0.3228,1703.026,0.204478,-425.405122,-425.394595,-425.393651,-425.441622,37.501
59605,gdb_59606,CC(C)C1CNC(=O)O1,3.02024,1.10782,1.00297,4.7909,75.01,-0.2594,0.0556,0.3149,1282.6918,0.171679,-440.349762,-440.340633,-440.339689,-440.383963,33.819
100537,gdb_100538,CCN(C)C(=O)N(C)C,2.76501,1.12878,0.89546,3.0982,84.65,-0.2245,0.053,0.2775,1417.7511,0.204023,-421.634627,-421.623247,-421.622303,-421.671191,39.915
122151,gdb_122152,C(COC(CO)CO)O,1.98236,1.32692,1.27931,2.4338,71.85,-0.2525,0.0717,0.3242,1178.0096,0.182977,-498.475983,-498.466561,-498.465617,-498.510043,35.624
124524,gdb_124525,CC(C)c1[nH]nc(n1)O,3.882,1.05325,0.87525,3.5976,73.55,-0.229,0.0171,0.2461,1326.85,0.148801,-435.309997,-435.301166,-435.300222,-435.34407,32.779
54281,gdb_54282,CC(=O)C1(CC#N)CO1,3.37113,1.1247,0.91603,3.4315,69.4,-0.2673,-0.0447,0.2226,1240.2746,0.121184,-437.897491,-437.888102,-437.887158,-437.932899,32.551
20390,gdb_20391,c1c2c([nH]n1)OCC2,4.94626,2.07388,1.49008,2.5939,62.42,-0.2026,0.0394,0.242,791.2009,0.111218,-378.727796,-378.721655,-378.720711,-378.758415,23.018
130086,gdb_130087,NC1=NN2CC(O)C2=C1,4.92997,1.09909,0.94069,1.2072,74.1,-0.201,0.0174,0.2185,1205.7047,0.126507,-434.041552,-434.033707,-434.032763,-434.073923,29.848
86066,gdb_86067,CC1=C(CN(C1)C)C#N,2.8098,1.20488,0.86675,4.4215,86.48,-0.2198,-0.0369,0.1829,1335.587,0.159004,-382.097368,-382.088129,-382.087185,-382.131307,33.54
43256,gdb_43257,O=C1C=CC(=O)C11CN1,2.37695,2.03273,1.18845,2.3973,70.53,-0.2504,-0.0994,0.1509,971.5786,0.101893,-436.705625,-436.698355,-436.697411,-436.737525,27.114
98439,gdb_98440,CCC(=O)C1(COC1)O,3.28608,1.07763,0.93156,2.7818,71.82,-0.2502,-0.0235,0.2267,1314.201,0.156049,-460.155294,-460.145396,-460.144451,-460.192027,34.982
82357,gdb_82358,OC1C2OC2CC1C#N,2.34408,1.74417,1.36678,5.874,67.69,-0.276,0.0286,0.3046,976.9695,0.124809,-437.881929,-437.874034,-437.873089,-437.914475,29.519
106192,gdb_106193,CCC12C3CC4C(C14)C23,3.20488,1.40763,1.36567,0.139,84.62,-0.2125,0.0883,0.3008,1080.9799,0.184243,-349.920669,-349.913078,-349.912134,-349.952694,31.061
133422,gdb_133423,c1c(nnc(n1)F)C=O,5.55561,1.04957,0.88279,3.7371,61.74,-0.2697,-0.112,0.1577,1149.0282,0.065181,-492.838426,-492.831569,-492.830625,-492.87044,24.152
93516,gdb_93517,CC1NC(=O)CCC1O,2.78672,1.29002,1.00153,3.4413,75.48,-0.2367,0.032,0.2687,1212.952,0.17215,-440.336334,-440.327323,-440.326379,-440.369975,34.354
39011,gdb_39012,C1N=C2NC=CC22OC12,3.36218,1.91381,1.35858,2.8735,71.69,-0.2117,-0.0223,0.1894,899.3086,0.115287,-416.796994,-416.790634,-416.78969,-416.827363,26.15
44359,gdb_44360,N=C1CN2CC3C(O1)C23,3.39189,1.69811,1.42006,3.0072,72.56,-0.225,0.0247,0.2497,930.5471,0.138905,-417.966796,-417.960148,-417.959203,-417.997889,27.012
126688,gdb_126689,CCN(C)c1cc[nH]n1,3.07995,1.21485,0.97004,1.3342,82.45,-0.1801,0.0365,0.2166,1270.1682,0.172114,-399.343368,-399.334046,-399.333102,-399.377882,34.199
7138,gdb_7139,CCNC(=O)CCO,5.67698,0.7973,0.76127,2.2726,69.89,-0.2431,0.0345,0.2777,1535.5589,0.16387,-402.232298,-402.222192,-402.221248,-402.269576,34.169
75653,gdb_75654,CC1C(=O)C2CC1(C)O2,2.47986,1.73976,1.26714,3.0568,74.77,-0.2279,-0.0164,0.2115,1046.2385,0.15832,-423.032261,-423.02384,-423.022896,-423.064855,32.58
25105,gdb_25106,N=C1OC=CC(=N)N=C1,3.51044,1.3909,0.99619,2.3198,78.38,-0.2547,-0.0894,0.1653,1100.3728,0.102954,-432.869389,-432.862057,-432.861112,-432.902395,27.022
60305,gdb_60306,CC(C)CCC(=O)C#N,3.77536,0.67081,0.59664,3.8253,81.53,-0.2949,-0.0835,0.2114,1855.5374,0.167905,-403.182856,-403.172267,-403.171323,-403.219694,36.979
51258,gdb_51259,O=CCC1=CC2CN2C1,4.86029,0.90037,0.83171,2.9654,79.13,-0.2235,-0.0328,0.1907,1375.9641,0.147473,-401.935119,-401.926926,-401.925982,-401.969266,30.21
113913,gdb_113914,[NH3+]CC1CC1CC([O-])=O,2.61488,1.21412,0.99651,6.7048,75.02,-0.2374,0.0374,0.2747,1246.0875,0.172693,-440.302592,-440.29371,-440.292766,-440.336243,33.713
31959,gdb_31960,CCc1cnc([nH]1)OC,4.73888,0.88824,0.78952,2.2294,80.04,-0.1928,0.0505,0.2433,1496.8104,0.159927,-419.251081,-419.241723,-419.240779,-419.285767,33.508
94337,gdb_94338,CC1OCC11OC1C#N,2.84123,1.25509,1.07758,2.6548,69.72,-0.2701,-0.0144,0.2557,1143.5417,0.12246,-437.852247,-437.843697,-437.842753,-437.886006,30.626
